,,,Fetched,Made Video,Uploaded
63336,https://api.oyez.org/cases/2021/20-5279,Wooden v. United States,1,,
63342,https://api.oyez.org/cases/2021/20-659,Thompson v. Clark,1,,
63343,https://api.oyez.org/cases/2021/20-480,Babcock v. Kijakazi,1,,
63344,https://api.oyez.org/cases/2021/20-303,United States v. Vaello-Madero,1,,
63346,https://api.oyez.org/cases/2021/20-443,United States v. Tsarnaev,1,,
63351,https://api.oyez.org/cases/2021/20-601,Cameron v. EMW Women’s Surgical Center,1,,
63353,https://api.oyez.org/cases/2021/20-826,Brown v. Davenport,,,
63359,https://api.oyez.org/cases/2021/20-637,Hemphill v. New York,,,
63360,https://api.oyez.org/cases/2021/20-804,Houston Community College System v. Wilson,,,
63361,https://api.oyez.org/cases/2021/20-827,United States v. Zubaydah,,,
63362,https://api.oyez.org/cases/2021/20-843,New York State Rifle & Pistol Association Inc. v. Bruen,,,
63368,https://api.oyez.org/cases/2021/19-1392,Dobbs v. Jackson Women's Health Organization,,,
63369,https://api.oyez.org/cases/2021/20-1009,Shinn v. Ramirez,,,
63370,https://api.oyez.org/cases/2021/20-1143,Badgerow v. Walters,,,
63371,https://api.oyez.org/cases/2021/20-915,"Unicolors, Inc. v. H&M Hennes & Mauritz, L.P.",,,
63376,https://api.oyez.org/cases/2021/20-979,Patel v. Garland,,,
63377,https://api.oyez.org/cases/2021/20-1029,"City of Austin, Texas v. Reagan National Advertising of Texas Inc.",,,
63378,https://api.oyez.org/cases/2021/20-1114,American Hospital Association v. Becerra,,,
63379,https://api.oyez.org/cases/2021/20-219,"Cummings v. Premier Rehab Keller, P.L.L.C.",,,
63381,https://api.oyez.org/cases/2021/20-1088,Carson v. Makin,,,
63382,https://api.oyez.org/cases/2021/19-1401,Hughes v. Northwestern University,,,
63383,https://api.oyez.org/cases/2021/20-1459,United States v. Taylor,,,
63384,https://api.oyez.org/cases/2021/20-1312,Becerra v. Empire Health Foundation,,,
63385,https://api.oyez.org/cases/2021/143-orig,Mississippi v. Tennessee,,,
63386,https://api.oyez.org/cases/2021/20-1263,Gallardo v. Marstiller,,,
63388,https://api.oyez.org/cases/2021/20-828,Federal Bureau of Investigation v. Fazaga,,,
63389,https://api.oyez.org/cases/2021/21-5592,Ramirez v. Collier,,,
63400,https://api.oyez.org/cases/2021/21-463,Whole Woman's Health v. Jackson,,,
63403,https://api.oyez.org/cases/2021/21-588,United States v. Texas,,,
63404,https://api.oyez.org/cases/2021/20-1472,"Boechler, P.C. v. Commissioner of Internal Revenue",,,
63405,https://api.oyez.org/cases/2021/20-1566,Cassirer v. Thyssen-Bornemisza Collection Foundation,,,
63406,https://api.oyez.org/cases/2021/20-1650,Concepcion v. United States,,,
63407,https://api.oyez.org/cases/2021/20-493,Ysleta del Sur Pueblo v. Texas,,,
63408,https://api.oyez.org/cases/2021/20-7622,Denezpi v. United States,,,
63409,https://api.oyez.org/cases/2021/20-1800,Shurtleff v. Boston,,,
63410,https://api.oyez.org/cases/2021/21-12,Federal Election Commission v. Ted Cruz for Senate,,,
63417,https://api.oyez.org/cases/2021/20-1410,Ruan v. United States,,,
63418,https://api.oyez.org/cases/2021/20-1641,"Marietta Memorial Hospital Employee Health Benefit Plan v. DaVita, Inc.",,,
63419,https://api.oyez.org/cases/2021/21-147,Egbert v. Boule,,,
63420,https://api.oyez.org/cases/2021/21-328,"Morgan v. Sundance, Inc.",,,
63421,https://api.oyez.org/cases/2021/21-248,Berger v. North Carolina State Conference of the NAACP,,,
63427,https://api.oyez.org/cases/2021/20-1034,Golan v. Saada,,,
63428,https://api.oyez.org/cases/2021/21-309,Southwest Airlines Co. v. Saxon,,,
63429,https://api.oyez.org/cases/2021/21-401,"ZF Automotive US, Inc. v. Luxshare, Ltd.",,,
63430,https://api.oyez.org/cases/2021/20-603,Torres v. Texas Department of Public Safety,,,
63431,https://api.oyez.org/cases/2021/20-322,Garland v. Gonzalez,,,
63432,https://api.oyez.org/cases/2021/20-1573,"Viking River Cruises, Inc. v. Moriana",,,
63433,https://api.oyez.org/cases/2021/20-807,LeDure v. Union Pacific Railroad Company,,,
63434,https://api.oyez.org/cases/2021/19-896,Johnson v. Arteaga-Martinez,,,
63435,https://api.oyez.org/cases/2021/21a240,Biden v. Missouri,,,
63436,https://api.oyez.org/cases/2021/21a244,"National Federation of Independent Business v. Department of Labor, Occupational Safety and Health Administration",,,
63437,https://api.oyez.org/cases/2021/21-404,United States v. Washington,,,
63438,https://api.oyez.org/cases/2021/21-441,Siegel v. Fitzgerald,,,
63439,https://api.oyez.org/cases/2021/21-5726,Kemp v. United States,,,
63445,https://api.oyez.org/cases/2021/20-1775,Arizona v. City and County of San Francisco,,,
63446,https://api.oyez.org/cases/2021/20-1530,West Virginia v. Environmental Protection Agency,,,
63448,https://api.oyez.org/cases/2021/21-418,Kennedy v. Bremerton School District,,,
63449,https://api.oyez.org/cases/2021/21-234,George v. McDonough,,,
63450,https://api.oyez.org/cases/2021/21-499,Vega v. Tekoh,,,
63451,https://api.oyez.org/cases/2021/21-439,Nance v. Ward,,,
63452,https://api.oyez.org/cases/2021/21-511,Shoop v. Twyford,,,
63478,https://api.oyez.org/cases/2021/21-954,Biden v. Texas,,,
63479,https://api.oyez.org/cases/2021/21-429,Oklahoma v. Castro-Huerta,,,
